restaurant_external_id,restaurant_name,campus_slug,latitude,longitude
kakao_824736542,낭만가득한20세기포장마차 수원성대본점,natural,37.29604429864224,126.96992964303809
kakao_306868449,소리산전집,natural,37.29685350890588,126.97024173476468
kakao_1279255339,두루정 수원성대점,natural,37.296794910240486,126.97011769468573
kakao_762026624,코아김밥,natural,37.29594969031294,126.969931936366
kakao_1676208114,최고집 원조 수구레,natural,37.296801204685146,126.9700669390792
kakao_1687006483,돼지게티 율천점,natural,37.29597671281764,126.96989809056896
kakao_24583309,신전떡볶이 수원성대점,natural,37.29681470682283,126.97001392490908
kakao_2064565238,중경마라탕 3호점,natural,37.29673393142803,126.97129631790644
kakao_1665003130,완미족발 수원성대점,natural,37.29684173421846,126.96999925216126
kakao_765114919,텐푸라바사바사,natural,37.29699785274132,126.9709578626317
kakao_27276923,국수파동,natural,37.29691382289646,126.97002178050572
kakao_2017609824,BBQ 수원율전점,natural,37.29601090706368,126.96972100681226
kakao_11634973,한솥도시락 수원성대점,natural,37.29702218074083,126.9709578532786
kakao_24941922,포크포크 매콤돈가스&칡불냉면,natural,37.29681504115512,126.9713639579212
kakao_1445316158,율전원곱창,natural,37.296675871585656,126.96971735674316
kakao_86582844,백사104,natural,37.29706162886568,126.97016383106484
kakao_1941692451,정든닭발 성대점,natural,37.29706162887575,126.97016383106464
kakao_450307831,정통집 수원성대점,natural,37.29684168401469,126.96980187884536
kakao_205548870,수해복마라탕 성대점,natural,37.29653527800559,126.96959335036678
kakao_295084774,이둔자꿔보러우,natural,37.29695917973012,126.97125111834193
kakao_324405971,1972재개발구역 성대점,natural,37.29667944972949,126.96961584923956
kakao_1706269697,춘천닭갈비칡냉면,natural,37.29696784731608,126.96987288292976
kakao_27393012,무대뽀핫도그 성대점,natural,37.29701774713672,126.97125109605255
kakao_140527598,맥주호텔,natural,37.29685967245864,126.96967555268924
kakao_541737858,율전동,natural,37.2971949959857,126.970217915328
kakao_1578043317,육가든,natural,37.29708950222605,126.96993148268052
kakao_18829773,황소마을곱창,natural,37.29685515339076,126.96962141780725
kakao_148202780,윤실장초밥 성대점,natural,37.29671546452914,126.9695120729448
kakao_1673819877,금별맥주 성균관대역점,natural,37.29720218608632,126.97014572990044
kakao_1328628226,기울어진뚝배기 수원성대점,natural,37.29685514759898,126.96959886085288
kakao_1067364809,포케올데이 수원성대점,natural,37.29687766917807,126.96958193406658
kakao_885469418,유가네닭갈비 성균관대역점,natural,37.2971255339476,126.969893121375
kakao_206089741,면식당 수원성균관대점,natural,37.297013299244746,126.97148794628748
